age,prob_man,lives_man,life_exp_man,prob_woman,lives_woman,life_exp_woman
0,0.006081,100000,76.22,0.005046,100000,81.28
1,0.000425,99392,75.69,0.000349,99495,80.69
2,0.000260,99350,74.72,0.000212,99461,79.72
3,0.000194,99324,73.74,0.000166,99440,78.73
4,0.000154,99305,72.76,0.000137,99423,77.75
5,0.000142,99289,71.77,0.000122,99409,76.76
6,0.000135,99275,70.78,0.000111,99397,75.77
7,0.000127,99262,69.79,0.000103,99386,74.77
8,0.000116,99249,68.79,0.000098,99376,73.78
9,0.000104,99238,67.80,0.000095,99366,72.79
10,0.000097,99227,66.81,0.000095,99357,71.80
11,0.000106,99218,65.82,0.000102,99348,70.80
12,0.000144,99207,64.82,0.000116,99337,69.81
13,0.000220,99193,63.83,0.000139,99326,68.82
14,0.000323,99171,62.85,0.000170,99312,67.83
15,0.000437,99139,61.87,0.000204,99295,66.84
16,0.000552,99096,60.89,0.000240,99275,65.85
17,0.000675,99041,59.93,0.000278,99251,64.87
18,0.000806,98974,58.97,0.000319,99224,63.89
19,0.000939,98894,58.01,0.000360,99192,62.91
20,0.001079,98802,57.07,0.000405,99156,61.93
21,0.001215,98695,56.13,0.000451,99116,60.95
22,0.001327,98575,55.20,0.000491,99071,59.98
23,0.001406,98444,54.27,0.000523,99023,59.01
24,0.001461,98306,53.35,0.000549,98971,58.04
25,0.001507,98162,52.42,0.000574,98917,57.07
26,0.001557,98014,51.50,0.000604,98860,56.11
27,0.001610,97862,50.58,0.000642,98800,55.14
28,0.001668,97704,49.66,0.000690,98737,54.17
29,0.001732,97541,48.74,0.000748,98669,53.21
30,0.001795,97372,47.83,0.000810,98595,52.25
31,0.001858,97198,46.91,0.000871,98515,51.29
32,0.001923,97017,46.00,0.000931,98429,50.34
33,0.001992,96830,45.09,0.000988,98337,49.38
34,0.002064,96638,44.18,0.001044,98240,48.43
35,0.002145,96438,43.27,0.001105,98138,47.48
36,0.002231,96231,42.36,0.001171,98029,46.53
37,0.002316,96017,41.45,0.001235,97914,45.59
38,0.002398,95794,40.55,0.001295,97793,44.64
39,0.002482,95564,39.64,0.001356,97667,43.70
40,0.002580,95327,38.74,0.001422,97534,42.76
41,0.002697,95081,37.84,0.001501,97396,41.82
42,0.002828,94825,36.94,0.001596,97249,40.88
43,0.002976,94557,36.04,0.001709,97094,39.95
44,0.003146,94275,35.15,0.001841,96928,39.01
45,0.003340,93979,34.26,0.001989,96750,38.08
46,0.003567,93665,33.37,0.002153,96557,37.16
47,0.003833,93331,32.49,0.002333,96350,36.24
48,0.004143,92973,31.61,0.002530,96125,35.32
49,0.004499,92588,30.74,0.002746,95882,34.41
50,0.004890,92171,29.88,0.002981,95618,33.50
51,0.005321,91720,29.02,0.003241,95333,32.60
52,0.005810,91232,28.18,0.003530,95024,31.71
53,0.006363,90702,27.34,0.003853,94689,30.82
54,0.006973,90125,26.51,0.004208,94324,29.93
55,0.007629,89497,25.69,0.004591,93927,29.06
56,0.008322,88814,24.89,0.004997,93496,28.19
57,0.009049,88075,24.09,0.005426,93029,27.33
58,0.009806,87278,23.31,0.005876,92524,26.48
59,0.010595,86422,22.53,0.006348,91980,25.63
60,0.011452,85506,21.77,0.006883,91396,24.79
61,0.012358,84527,21.01,0.007457,90767,23.96
62,0.013255,83482,20.27,0.008010,90090,23.14
63,0.014126,82376,19.54,0.008520,89369,22.32
64,0.015006,81212,18.81,0.009031,88607,21.51
65,0.016001,79994,18.09,0.009617,87807,20.70
66,0.017124,78714,17.37,0.010328,86963,19.89
67,0.018298,77366,16.67,0.011167,86065,19.10
