,0
0,2060
1,2030
2,2020
3,1520
4,2170
5,1140
6,2140
7,2260
8,2140
9,2100
10,2350
11,2250
12,2800
13,2480
14,2260
15,1940
16,1680
17,1590
18,1990
19,2460
20,2500
21,2020
22,2100
23,2240
24,2350
25,1750
26,2310
27,1950
28,2330
29,1530
30,2230
31,2250
32,1600
33,2150
34,1970
35,2500
36,1570
37,2070
38,2470
39,1900
40,1720
41,2570
42,1580
43,2190
44,2430
45,2460
46,2460
47,1740
48,2630
49,2380
50,3080
51,2340
52,3410
53,1910
54,2340
55,1980
56,1680
57,2650
58,2600
59,1860
60,2660
61,1910
62,2320
63,2280
64,2050
65,2380
66,1480
67,2130
68,2810
69,1880
70,1710
71,2100
72,2290
73,2080
74,2160
75,1520
76,1820
77,2020
78,1860
79,2090
80,1540
81,2140
82,1880
83,1850
84,1630
85,2220
86,1850
87,1950
88,2570
89,2200
90,2830
91,1910
92,1870
93,1660
94,1710
95,1980
96,2470
97,1560
98,2180
99,3000
100,2020
101,1930
102,1680
103,1660
104,1440
105,2400
106,1880
107,1510
108,1420
109,2100
110,2590
111,2320
112,2120
113,2260
114,2720
115,1920
116,2070
117,2140
118,2400
119,2300
120,1850
121,2150
122,2520
123,3140
124,2470
125,2370
126,2110
127,2130
128,1910
129,1750
130,2540
131,2410
132,2250
133,2490
134,2250
135,2100
136,2790
137,2720
138,1560
139,2540
140,1740
141,1850
142,1760
143,2290
144,1810
145,2760
146,2560
147,1790
148,2070
149,2170
150,2410
151,1870
152,1590
153,2140
154,2030
155,2050
156,2380
157,1910
158,2180
159,2420
160,1700
161,1640
162,2800
163,2200
164,2590
165,1890
166,2220
167,2610
168,2280
169,2620
170,1660
171,2130
172,2460
173,1900
174,2130
175,2010
176,1920
177,1590
178,3060
179,2290
180,1330
181,2630
182,2290
183,2250
184,2530
185,2010
186,1830
187,3000
188,2200
189,2190
190,2140
191,2250
192,1590
193,2310
194,2170
195,2540
196,1640
197,2160
198,2110
199,2470
200,3190
201,1800
202,2290
203,2120
204,2010
205,2030
206,3020
207,2460
208,1980
209,2180
210,2100
211,2180
212,3020
213,2260
214,2230
215,2680
216,2340
217,1170
218,2570
219,1930
220,2280
221,1880
222,1970
223,2550
224,2410
225,1590
226,2360
227,2010
228,2010
229,1840
230,1740
231,3130
232,1850
233,2260
234,2020
235,1500
236,2230
237,2240
238,2240
239,2260
240,1890
241,2810
242,2080
243,2220
244,2250
245,2300
246,2660
247,2040
248,2220
249,1780
250,1630
251,2040
252,1730
253,2170
254,2480
255,2390
256,2460
257,1890
258,3150
259,1420
260,1890
261,2190
262,1870
263,2010
264,2030
265,2200
266,2710
267,2860
268,2170
269,2390
270,2320
271,2380
272,2340
273,1780
274,1530
275,2040
276,2210
277,2530
278,2320
279,1920
280,1740
281,1670
282,1930
283,1400
284,2600
285,2680
286,4220
287,1730
288,2390
289,2180
290,2220
291,1570
292,2170
293,2440
294,2290
295,1570
296,1800
297,1240
298,2500
299,1990
300,2020
301,1940
302,2370
303,2840
304,2010
305,2350
306,1430
307,1980
308,2160
309,1990
310,2560
311,1620
312,1790
313,2070
314,1680
315,2290
316,2250
317,2500
318,1140
319,2580
320,1960
321,1870
322,2650
323,2060
324,1900
325,2590
326,1510
327,2360
328,2060
329,1770
330,1570
331,2390
332,2010
333,2040
334,1990
335,1930
336,2220
337,2130
338,2190
339,2470
340,3120
341,1720
342,2550
343,2770
344,2590
345,1840
346,1640
347,2060
348,2720
349,1950
350,1780
351,2000
352,2640
353,2710
354,2850
355,2220
356,2090
357,1880
358,2240
359,2730
360,1510
361,2890
362,2600
363,2480
364,1710
365,1630
366,1350
367,2730
368,2240
369,2000
370,2480
371,2110
372,1980
373,1810
374,2250
375,2450
376,2690
377,2470
378,2310
379,1690
380,2140
381,1950
382,2330
383,1900
384,2130
385,2800
386,1980
387,1980
388,2180
389,1860
390,1800
391,2320
392,2360
393,2090
394,2220
395,2150
396,1690
397,1730
398,2630
399,1560
400,1920
401,2600
402,2430
403,2170
404,2170
405,1660
406,3100
407,2530
408,2030
409,1400
410,1660
411,2170
412,2680
413,2650
414,1980
415,1830
416,1780
417,2030
418,2150
419,2560
420,1940
421,1800
422,1510
423,1960
424,2050
425,2260
426,2350
427,2830
428,2030
429,1920
430,2160
431,2820
432,2860
433,1830
434,2070
435,1860
436,1600
437,1660
438,2310
439,1720
440,2100
441,1470
442,1780
443,2730
